EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAING;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAMOV;ADICIONA;RESTANTE;ENTREGO;FECHAPLA
JUAN CARLOS RENDON;ZE053;COMERCIALIZADORA MERCALDAS PALMAS;CRA. 23 # 58-01;COMERC01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;6;1;31/03/2011
JUAN CARLOS RENDON;ZE053;DROGUERIA REINEL;CL 103 #35 03;DROREI01;31/03/2011;4;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;31/03/2011;5;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA DO�A INES;KRA. 35  N� 100-65;MISINE01;31/03/2011;5;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
